vx	vy	vz	score	numLines
-0.99157554	0.12952947	0.00024355	650.54	47
0.76044877	-0.64939690	-0.00115497	488.17	39
-0.43647291	0.89971575	0.00172559	331.19	31

nLines	x1	y1	x2	y2	length
47
	219.07	12.20	230.99	9.93	12.14
	155.05	16.14	175.94	14.18	20.99
	67.05	23.10	95.94	19.48	29.12
	156.99	24.45	175.01	21.86	18.21
	228.91	28.28	250.03	26.30	21.22
	162.04	34.11	187.90	32.21	25.93
	232.06	38.18	250.00	34.98	18.22
	77.05	39.15	102.00	35.84	25.17
	165.06	42.14	183.99	39.28	19.15
	87.05	45.23	103.99	44.08	16.97
	4.05	47.14	23.02	45.90	19.02
	168.02	52.09	194.10	48.71	26.30
	4.09	56.17	31.83	53.52	27.87
	4.04	66.56	30.03	61.83	26.42
	182.04	69.09	204.02	67.33	22.06
	169.15	79.57	175.13	78.64	6.05
	19.06	81.19	37.00	79.96	17.99
	187.94	89.34	216.05	85.80	28.34
	22.00	89.48	41.97	87.66	20.06
	101.08	93.21	127.00	89.80	26.14
	22.10	100.23	44.01	97.94	22.02
	205.99	106.42	228.10	105.72	22.11
	110.97	112.40	138.79	109.42	27.98
	197.03	115.45	188.86	116.69	8.27
	207.04	117.14	225.00	114.57	18.14
	212.06	128.19	241.36	125.37	29.43
	120.07	132.22	145.02	129.33	25.12
	33.04	139.09	58.03	135.71	25.22
	203.99	136.49	208.00	136.05	4.03
	42.98	146.40	69.14	144.47	26.23
	130.95	152.76	157.79	150.50	26.94
	50.02	156.07	67.15	155.29	17.16
	236.04	157.27	250.00	156.51	13.98
	51.96	166.34	75.99	165.02	24.07
	227.18	168.86	234.67	168.46	7.51
	139.93	174.28	165.02	171.51	25.24
	63.99	186.46	85.11	185.58	21.13
	148.06	197.26	175.01	193.71	27.18
	68.03	198.07	83.01	197.89	14.98
	3.99	202.91	13.04	202.14	9.08
	67.06	209.20	93.02	207.41	26.02
	163.05	219.12	185.02	217.15	22.06
	4.06	225.17	20.22	223.58	16.24
	173.03	229.13	189.00	227.97	16.02
	179.04	242.18	197.96	240.83	18.96
	87.27	243.33	99.97	243.30	12.70
	201.07	250.33	204.93	250.15	3.87
39
	218.92	3.42	198.03	15.04	23.91
	123.47	13.50	136.94	3.88	16.55
	197.49	25.61	218.05	12.66	24.30
	54.07	32.08	66.08	23.66	14.67
	142.55	32.45	155.96	24.88	15.39
	205.74	42.65	228.07	28.68	26.34
	215.46	48.53	231.06	38.68	18.45
	59.79	50.76	76.04	39.62	19.70
	149.54	51.46	164.02	42.55	17.00
	66.44	68.54	80.12	58.67	16.87
	225.77	65.79	250.03	53.19	27.33
	67.54	79.62	85.99	65.98	22.95
	164.01	79.01	180.98	69.45	19.48
	73.01	88.01	89.93	75.85	20.84
	164.30	91.30	182.00	79.52	21.27
	83.04	105.04	100.10	93.69	20.50
	179.27	106.34	192.07	98.66	14.92
	4.14	111.12	21.07	100.68	19.89
	3.61	123.67	22.92	109.80	23.78
	181.97	118.95	204.95	106.79	25.99
	89.89	125.89	109.96	112.87	23.92
	11.22	129.25	19.95	122.91	10.78
	189.29	126.36	206.00	117.51	18.91
	191.25	138.62	211.02	128.61	22.17
	101.16	144.15	119.06	132.70	21.25
	21.22	158.26	42.06	146.70	23.83
	216.90	164.34	235.01	157.56	19.34
	28.56	178.47	51.05	166.66	25.40
	218.82	171.32	225.95	167.71	7.99
	219.08	178.48	223.97	176.18	5.41
	223.96	189.44	250.02	179.11	28.03
	129.07	192.11	143.94	184.81	16.56
	243.01	195.03	250.00	192.64	7.39
	85.85	201.26	82.88	202.86	3.38
	48.90	217.35	66.02	209.52	18.82
	148.84	239.26	171.98	229.39	25.16
	158.25	250.45	177.99	242.44	21.30
	5.20	250.46	17.00	245.52	12.80
	65.24	250.32	75.93	245.78	11.61
31
	32.84	11.97	37.74	3.73	9.58
	39.56	27.96	49.00	14.00	16.85
	112.74	16.09	121.60	3.62	15.29
	187.77	10.18	193.92	3.91	8.78
	246.06	11.87	248.37	9.59	3.24
	46.51	43.87	53.76	32.74	13.28
	128.66	49.05	142.01	33.01	20.87
	143.00	48.00	149.01	41.02	9.21
	136.79	66.91	149.02	52.02	19.27
	53.85	72.94	60.52	61.60	13.15
	59.06	53.02	53.66	60.96	9.61
	225.90	77.90	234.75	69.68	12.08
	249.95	85.43	236.85	95.88	16.76
	161.73	123.92	178.82	106.78	24.20
	76.45	127.98	93.98	107.97	26.60
	246.44	103.64	250.06	100.63	4.71
	85.45	146.97	104.01	127.01	27.25
	3.69	152.88	11.49	141.45	13.84
	191.32	154.29	209.94	140.87	22.95
	9.27	175.92	20.81	158.78	20.67
	198.24	164.07	211.05	154.60	15.92
	200.34	177.30	215.96	164.93	19.92
	118.39	201.34	128.17	192.76	13.01
	24.25	214.88	40.95	195.92	25.26
	149.90	209.27	128.70	223.71	25.66
	229.01	203.02	242.05	195.65	14.97
	250.05	205.14	228.97	217.97	24.68
	32.26	234.85	48.00	218.01	23.06
	249.89	221.34	237.00	230.00	15.54
	94.00	223.00	90.28	226.32	4.99
	44.15	237.74	40.55	241.03	4.88
